"Region","Sex","Year","Age group","Mean height","Mean height lower 95% uncertainty interval","Mean height upper 95% uncertainty interval","Mean height standard error"
"Central and Eastern Europe","Boys",1993,7,123.099280519218,122.230485742385,123.945611860039,0.435318000227824
"Central and Eastern Europe","Boys",1993,8,128.472984619092,127.658831263778,129.26034773804,0.412606924157218
"Central and Eastern Europe","Boys",1993,9,133.646236842234,132.858712060025,134.407754561678,0.396621271788726
"Central and Eastern Europe","Boys",1993,10,138.841753730773,138.083460461497,139.569314209281,0.38278679469774
"Central and Eastern Europe","Boys",1993,11,144.080241769096,143.334713970864,144.803111149824,0.375925659362002
"Central and Eastern Europe","Boys",1993,12,150.067817701403,149.325942184842,150.791327777076,0.374909345106705
"Central and Eastern Europe","Boys",1993,13,157.083997012677,156.349156861613,157.802089331624,0.3733826996623
"Central and Eastern Europe","Boys",1993,14,163.801406909036,163.068871290377,164.522393176937,0.373518380215244
"Central and Eastern Europe","Boys",1993,15,168.891846063906,168.138208496022,169.621410526575,0.375295747134077
"Central and Eastern Europe","Boys",1993,16,172.397284796855,171.633154344483,173.17131451712,0.386917377236278
"Central and Eastern Europe","Boys",1993,17,174.812902043636,174.011006948988,175.605752510096,0.402715691605375
"Central and Eastern Europe","Boys",1993,18,176.312237359761,175.490871529832,177.145395731023,0.418792834732565
"Central and Eastern Europe","Boys",1993,19,177.029613769658,176.148216654911,177.927665452907,0.453333902983166
"Central and Eastern Europe","Boys",1994,5,111.291421976563,110.26986805836,112.311595640432,0.522843137090434
"Central and Eastern Europe","Boys",1994,6,117.393153152438,116.478320139346,118.288478600309,0.461773691108466
"Central and Eastern Europe","Boys",1994,7,123.070957580488,122.219283812399,123.893150624363,0.425785086752662
"Central and Eastern Europe","Boys",1994,8,128.44649458809,127.633734128188,129.221105276487,0.401995558575367
"Central and Eastern Europe","Boys",1994,9,133.634358402967,132.85602778723,134.371753862494,0.387025371977285
"Central and Eastern Europe","Boys",1994,10,138.837366055057,138.085057636495,139.551925172141,0.375324819564567
"Central and Eastern Europe","Boys",1994,11,144.090853649749,143.355177345973,144.797037458085,0.368910787648604
"Central and Eastern Europe","Boys",1994,12,150.072259485727,149.343833024178,150.775406706313,0.366496794625714
"Central and Eastern Europe","Boys",1994,13,157.079941878158,156.36135330044,157.789306536168,0.364757308855934
"Central and Eastern Europe","Boys",1994,14,163.796184252038,163.074374125683,164.494781453566,0.362730498276602
"Central and Eastern Europe","Boys",1994,15,168.926945116276,168.213987468861,169.627058046058,0.358775947785082
"Central and Eastern Europe","Boys",1994,16,172.441124716014,171.717000538937,173.166628352971,0.366973452973938
"Central and Eastern Europe","Boys",1994,17,174.864068577707,174.123707080255,175.631302160792,0.380721549581167
"Central and Eastern Europe","Boys",1994,18,176.374328089239,175.597707330941,177.154532225181,0.395660982975902
"Central and Eastern Europe","Boys",1994,19,177.105850972806,176.263112907852,177.946831843161,0.431342822662768
"Central and Eastern Europe","Boys",1995,5,111.320343056946,110.324094219409,112.358674795645,0.515674080345739
"Central and Eastern Europe","Boys",1995,6,117.401008122955,116.502440658693,118.291186891414,0.453844513102196
"Central and Eastern Europe","Boys",1995,7,123.064517707122,122.229555458903,123.870692261393,0.4166903794469
"Central and Eastern Europe","Boys",1995,8,128.430393434113,127.631433953483,129.185421907848,0.392625314201153
"Central and Eastern Europe","Boys",1995,9,133.620277306261,132.85245366194,134.337376723031,0.376613585129181
"Central and Eastern Europe","Boys",1995,10,138.808171368762,138.07206138999,139.512775358388,0.367277785426936
"Central and Eastern Europe","Boys",1995,11,144.085694759505,143.368965198576,144.773482599572,0.360642436466389
"Central and Eastern Europe","Boys",1995,12,150.082494882107,149.362250717032,150.769970019034,0.358886542023959
"Central and Eastern Europe","Boys",1995,13,157.084939672004,156.380759288701,157.767904531699,0.355623870089323
"Central and Eastern Europe","Boys",1995,14,163.794196152518,163.095871814723,164.472311450079,0.353396731130255
"Central and Eastern Europe","Boys",1995,15,168.945208983875,168.259581115944,169.612345616374,0.345976785914781
"Central and Eastern Europe","Boys",1995,16,172.473190712591,171.777454801245,173.160276544903,0.351420923156436
"Central and Eastern Europe","Boys",1995,17,174.908190938374,174.213057760954,175.637344771212,0.361960543974641
"Central and Eastern Europe","Boys",1995,18,176.428052484918,175.685707517749,177.173109954388,0.375194403910712
"Central and Eastern Europe","Boys",1995,19,177.170175320031,176.366087654526,177.969342786489,0.411323019963696
"Central and Eastern Europe","Boys",1996,5,111.383801659502,110.408451711299,112.401876978392,0.509020462159632
"Central and Eastern Europe","Boys",1996,6,117.446646468363,116.560001880006,118.329903032038,0.447145593744069
"Central and Eastern Europe","Boys",1996,7,123.088822441409,122.264395991409,123.885027912937,0.409227014467778
"Central and Eastern Europe","Boys",1996,8,128.440517627768,127.661130100438,129.177131544153,0.384125120215538
"Central and Eastern Europe","Boys",1996,9,133.621212546886,132.871844158727,134.319992931588,0.367664211973403
"Central and Eastern Europe","Boys",1996,10,138.764230211948,138.047232155642,139.441849766861,0.357068556313363
"Central and Eastern Europe","Boys",1996,11,144.055593122688,143.360521054379,144.71964973654,0.351684272452459
"Central and Eastern Europe","Boys",1996,12,150.076561077286,149.371974117429,150.741471109585,0.349963233072674
"Central and Eastern Europe","Boys",1996,13,157.095116634575,156.400018920484,157.754403648032,0.347328584195399
"Central and Eastern Europe","Boys",1996,14,163.800199639008,163.124292645219,164.454990933745,0.343423602834531
"Central and Eastern Europe","Boys",1996,15,168.961244728966,168.292328384832,169.610683825163,0.336080672897012
"Central and Eastern Europe","Boys",1996,16,172.490889088467,171.82522472625,173.149358010719,0.339780686951118
"Central and Eastern Europe","Boys",1996,17,174.944115581309,174.272801111207,175.63006952385,0.34735070565814
"Central and Eastern Europe","Boys",1996,18,176.478149025809,175.770084291156,177.188529990186,0.357761834643943
"Central and Eastern Europe","Boys",1996,19,177.227766327973,176.470610935098,177.990184519755,0.393852479092213
"Central and Eastern Europe","Boys",1997,5,111.484835807912,110.513781481813,112.483449296611,0.50166092189569
"Central and Eastern Europe","Boys",1997,6,117.527344262994,116.662425309763,118.3954430932,0.440743851530309
"Central and Eastern Europe","Boys",1997,7,123.151978156924,122.347503116151,123.930745601037,0.402993498630036
"Central and Eastern Europe","Boys",1997,8,128.482918493851,127.71904587963,129.219026966952,0.377266211092373
"Central and Eastern Europe","Boys",1997,9,133.650206301219,132.924683372797,134.344983162498,0.359939676425081
"Central and Eastern Europe","Boys",1997,10,138.719041733574,138.025491514873,139.389430517496,0.347110254020544
"Central and Eastern Europe","Boys",1997,11,144.011146901298,143.337632772933,144.660546445746,0.340917772893274
"Central and Eastern Europe","Boys",1997,12,150.045966852433,149.361277008704,150.693111736066,0.340679251938374
"Central and Eastern Europe","Boys",1997,13,157.089264093089,156.408750477598,157.736581284738,0.33818535213477
"Central and Eastern Europe","Boys",1997,14,163.811450211294,163.138757328733,164.451474255333,0.334657581752468
"Central and Eastern Europe","Boys",1997,15,168.980771969816,168.336055641556,169.608740049887,0.327270271353177
"Central and Eastern Europe","Boys",1997,16,172.509274008098,171.86169879929,173.153846002917,0.330591407843147
"Central and Eastern Europe","Boys",1997,17,174.968108278914,174.313069547255,175.628633761251,0.336585996952256
"Central and Eastern Europe","Boys",1997,18,176.521290063557,175.838758990102,177.205370592722,0.343930737972776
"Central and Eastern Europe","Boys",1997,19,177.280951112351,176.546426421883,178.006876314048,0.379046272245777
"Central and Eastern Europe","Boys",1998,5,111.60613895592,110.643253944788,112.599106536677,0.494828681607654
"Central and Eastern Europe","Boys",1998,6,117.641177452663,116.780017911113,118.487021399031,0.433378253991083
"Central and Eastern Europe","Boys",1998,7,123.246468457462,122.451006802914,124.013383843113,0.39685753709604
"Central and Eastern Europe","Boys",1998,8,128.56099578001,127.820547156337,129.28544042841,0.37144177739729
"Central and Eastern Europe","Boys",1998,9,133.708680059377,132.992266925126,134.404473105297,0.353770114517064
"Central and Eastern Europe","Boys",1998,10,138.688622586491,138.011344845989,139.346598996208,0.33806260290199
"Central and Eastern Europe","Boys",1998,11,143.970005700317,143.310672722947,144.602292940133,0.331169308592596
"Central and Eastern Europe","Boys",1998,12,150.005743936452,149.343252055897,150.632662256225,0.33016834307191
"Central and Eastern Europe","Boys",1998,13,157.063459605923,156.398645184807,157.688812920018,0.329146360403523
"Central and Eastern Europe","Boys",1998,14,163.811181676434,163.155213523465,164.429095000752,0.325732661983279
"Central and Eastern Europe","Boys",1998,15,169.001054500515,168.363609921312,169.617095475043,0.320644106492449
"Central and Eastern Europe","Boys",1998,16,172.533326393789,171.908859330804,173.165434074787,0.322167881127922
"Central and Eastern Europe","Boys",1998,17,174.99410682526,174.359723133525,175.646321243669,0.327698452597453
"Central and Eastern Europe","Boys",1998,18,176.551947807976,175.897715176236,177.205940061478,0.333956776489121
"Central and Eastern Europe","Boys",1998,19,177.324981774887,176.599778375001,178.032210620887,0.367542653927082
"Central and Eastern Europe","Boys",1999,5,111.722409649462,110.76008767905,112.692740265154,0.488541869282564
"Central and Eastern Europe","Boys",1999,6,117.764966481234,116.921506292752,118.594156697567,0.425996474726389
"Central and Eastern Europe","Boys",1999,7,123.364420738306,122.581008610301,124.114107078976,0.389466020679699
"Central and Eastern Europe","Boys",1999,8,128.661112403606,127.924202137315,129.365091056614,0.365473523170327
"Central and Eastern Europe","Boys",1999,9,133.793672834133,133.097616209267,134.478339772925,0.348206870552329
"Central and Eastern Europe","Boys",1999,10,138.682661896327,138.013726647704,139.32803752242,0.331044743510955
"Central and Eastern Europe","Boys",1999,11,143.94922760547,143.306557207442,144.573017567027,0.323319320180754
"Central and Eastern Europe","Boys",1999,12,149.974744006352,149.334435487094,150.590284704113,0.321530577717365
"Central and Eastern Europe","Boys",1999,13,157.034004957653,156.392884465544,157.647474982613,0.319570520005806
"Central and Eastern Europe","Boys",1999,14,163.79668273679,163.163510471584,164.402423106501,0.317552031836769
"Central and Eastern Europe","Boys",1999,15,169.00206063142,168.372622802252,169.602268848488,0.314310110498417
"Central and Eastern Europe","Boys",1999,16,172.559558052192,171.941119856643,173.174587860821,0.315417586316356
"Central and Eastern Europe","Boys",1999,17,175.025561762771,174.4112911069,175.649236792315,0.319191382691632
"Central and Eastern Europe","Boys",1999,18,176.582722904825,175.942595693896,177.223261376374,0.325734943735107
"Central and Eastern Europe","Boys",1999,19,177.353202388342,176.639050920847,178.043501229323,0.359756094211267
"Central and Eastern Europe","Boys",2000,5,111.8270275186,110.882582391639,112.784248591919,0.481243028312399
"Central and Eastern Europe","Boys",2000,6,117.872474033508,117.053112554852,118.701458670504,0.418777536999512
"Central and Eastern Europe","Boys",2000,7,123.481500574444,122.718775355335,124.210283716028,0.381671962373715
"Central and Eastern Europe","Boys",2000,8,128.773893029455,128.05316330809,129.457137180876,0.358153183222163
"Central and Eastern Europe","Boys",2000,9,133.889741768907,133.206392597359,134.559004588342,0.342404187795274
"Central and Eastern Europe","Boys",2000,10,138.71162823941,138.050265311882,139.343382873445,0.325976172894433
"Central and Eastern Europe","Boys",2000,11,143.957381169729,143.322034595129,144.57228788709,0.318088260160393
"Central and Eastern Europe","Boys",2000,12,149.968727874401,149.339354810232,150.580814657405,0.315356504277043
